city,state,country,latitude,longitude
Billings,Montana,United States,45.7874957,-108.49607
Montpelier,Vermont,United States,44.2602244,-72.5750364
Tallahassee,Florida,United States,30.4380832,-84.2809332
Nashville,Tennessee,United States,36.1622767,-86.7742984
New Orleans,Louisiana,United States,29.9559145,-90.0730259
San Francisco,California,United States,37.7792588,-122.4193286
Mobile,Alabama,United States,30.6913462,-88.0437509
Miami,Florida,United States,25.7741566,-80.1935973
Louisville,Kentucky,United States,38.2542376,-85.759407
Fayetteville,Arkansas,United States,36.0625843,-94.1574328
Knoxville,Tennessee,United States,35.9603948,-83.9210261
Jackson,Mississippi,United States,32.2998686,-90.1830408
Salem,Oregon,United States,44.9391565,-123.033121
Casper,Wyoming,United States,42.8501191,-106.325138
Oklahoma City,Oklahoma,United States,35.4729886,-97.5170536
Milwaukee,Wisconsin,United States,43.0386475,-87.9090751
Gulfport,Mississippi,United States,30.3674198,-89.0928155
Lexington,Kentucky,United States,38.0464066,-84.4970393
Austin,Texas,United States,30.2711286,-97.7436995
Jacksonville,Florida,United States,30.3321838,-81.655651
Salt Lake City,Utah,United States,40.7596198,-111.886797
Baton Rouge,Louisiana,United States,30.4494155,-91.1869659
Huntsville,Alabama,United States,34.729847,-86.5859011
Memphis,Tennessee,United States,35.1460249,-90.0517638
,,,18.7778874,100.773732
